,Date Time,Water Level,SiteID,Source,Date,Time,Identifier
0,2016-01-10 03:36:00-05:00,4.183,8557380,NOAA,2016-01-10,2023-04-16 03:36:00,8557380-2016-9
1,2016-01-10 04:36:00-05:00,4.57,1484085,USGS,2016-01-10,2023-04-16 09:36:00,01484085-2016-2256
2,2016-01-10 06:24:00-05:00,4.836,8551910,NOAA,2016-01-10,2023-04-16 06:24:00,8551910-2016-9
3,2016-01-22 16:12:00-05:00,2.94,1484085,USGS,2016-01-22,2023-04-16 21:12:00,01484085-2016-5012
4,2016-01-23 03:24:00-05:00,6.627,8557380,NOAA,2016-01-23,2023-04-16 03:24:00,8557380-2016-22
5,2016-01-23 06:18:00-05:00,4.764,8551910,NOAA,2016-01-23,2023-04-16 06:18:00,8551910-2016-22
6,2016-02-09 04:00:00-05:00,4.61,8557380,NOAA,2016-02-09,2023-04-16 04:00:00,8557380-2016-39
7,2016-02-09 05:18:00-05:00,4.84,1484085,USGS,2016-02-09,2023-04-16 10:18:00,01484085-2016-8503
8,2016-02-09 06:48:00-05:00,5.023,8551910,NOAA,2016-02-09,2023-04-16 06:48:00,8551910-2016-39
9,2016-02-24 04:30:00-05:00,2.95,8557380,NOAA,2016-02-24,2023-04-16 04:30:00,8557380-2016-54
10,2016-02-24 17:18:00-05:00,3.55,1484085,USGS,2016-02-24,2023-04-16 22:18:00,01484085-2016-11503
11,2016-02-24 19:30:00-05:00,4.633,8551910,NOAA,2016-02-24,2023-04-16 19:30:00,8551910-2016-55
12,2016-05-05 15:30:00-04:00,4.245,8557380,NOAA,2016-05-05,2023-04-16 15:30:00,8557380-2016-125
13,2016-05-05 17:06:00-04:00,4.38,1484085,USGS,2016-05-05,2023-04-16 21:06:00,01484085-2016-28521
14,2016-05-06 18:54:00-04:00,4.705,8551910,NOAA,2016-05-06,2023-04-16 18:54:00,8551910-2016-126
15,2016-09-29 15:48:00-04:00,4.38,8557380,NOAA,2016-09-29,2023-04-16 15:48:00,8557380-2016-272
16,2016-09-29 17:54:00-04:00,4.82,1484085,USGS,2016-09-29,2023-04-16 21:54:00,01484085-2016-63328
17,2016-09-29 18:36:00-04:00,4.606,8551910,NOAA,2016-09-29,2023-04-16 18:36:00,8551910-2016-272
18,2017-05-25 16:36:00-04:00,4.15,8557380,NOAA,2017-05-25,2023-04-16 16:36:00,8557380-2017-145
19,2017-05-25 17:24:00-04:00,4.36,1484085,USGS,2017-05-25,2023-04-16 21:24:00,01484085-2017-32231
20,2017-05-25 18:42:00-04:00,4.849,8551910,NOAA,2017-05-25,2023-04-16 18:42:00,8551910-2017-144
21,2017-07-24 17:18:00-04:00,3.94,8557380,NOAA,2017-07-24,2023-04-16 17:18:00,8557380-2017-205
22,2017-07-24 19:06:00-04:00,4.46,1484085,USGS,2017-07-24,2023-04-16 23:06:00,01484085-2017-46638
23,2017-07-24 20:12:00-04:00,4.642,8551910,NOAA,2017-07-24,2023-04-16 20:12:00,8551910-2017-205
24,2017-09-19 16:00:00-04:00,4.583,8557380,NOAA,2017-09-19,2023-04-16 16:00:00,8557380-2017-262
25,2017-09-19 17:48:00-04:00,4.25,1484085,USGS,2017-09-19,2023-04-16 21:48:00,01484085-2017-60062
26,2017-09-20 19:24:00-04:00,4.396,8551910,NOAA,2017-09-20,2023-04-16 19:24:00,8551910-2017-263
27,2018-03-05 18:36:00-05:00,4.118,8557380,NOAA,2018-03-05,2023-04-16 18:36:00,8557380-2018-63
28,2018-03-06 20:36:00-05:00,4.36,1484085,USGS,2018-03-07,2023-04-16 01:36:00,01484085-2018-13418
29,2018-03-06 21:48:00-05:00,5.059,8551910,NOAA,2018-03-06,2023-04-16 21:48:00,8551910-2018-65
30,2018-04-15 16:18:00-04:00,4.032,8557380,NOAA,2018-04-15,2023-04-16 16:18:00,8557380-2018-104
31,2018-04-15 17:54:00-04:00,4.75,1484085,USGS,2018-04-15,2023-04-16 21:54:00,01484085-2018-22958
32,2018-04-16 07:12:00-04:00,5.125,8551910,NOAA,2018-04-16,2023-04-16 07:12:00,8551910-2018-105
33,2018-05-18 19:00:00-04:00,3.917,8557380,NOAA,2018-05-18,2023-04-16 19:00:00,8557380-2018-137
34,2018-05-18 20:06:00-04:00,4.51,1484085,USGS,2018-05-19,2023-04-16 00:06:00,01484085-2018-30887
35,2018-05-18 22:00:00-04:00,4.426,8551910,NOAA,2018-05-18,2023-04-16 22:00:00,8551910-2018-138
36,2018-08-10 17:36:00-04:00,4.14,1484085,USGS,2018-08-10,2023-04-16 21:36:00,01484085-2018-51006
37,2018-08-10 18:24:00-04:00,4.577,8551910,NOAA,2018-08-10,2023-04-16 18:24:00,8551910-2018-221
38,2018-08-11 16:30:00-04:00,3.878,8557380,NOAA,2018-08-11,2023-04-16 16:30:00,8557380-2018-222
39,2018-09-09 16:36:00-04:00,5.249,8557380,NOAA,2018-09-09,2023-04-16 16:36:00,8557380-2018-251
40,2018-09-09 18:48:00-04:00,5.72,1484085,USGS,2018-09-09,2023-04-16 22:48:00,01484085-2018-58206
41,2018-09-09 19:18:00-04:00,5.65,8551910,NOAA,2018-09-09,2023-04-16 19:18:00,8551910-2018-251
42,2018-09-24 16:24:00-04:00,3.497,8557380,NOAA,2018-09-24,2023-04-16 16:24:00,8557380-2018-266
43,2018-09-24 18:18:00-04:00,4.27,1484085,USGS,2018-09-24,2023-04-16 22:18:00,01484085-2018-61795
44,2018-09-25 07:06:00-04:00,4.731,8551910,NOAA,2018-09-25,2023-04-16 07:06:00,8551910-2018-267
45,2018-10-27 05:48:00-04:00,4.892,8557380,NOAA,2018-10-27,2023-04-16 05:48:00,8557380-2018-299
46,2018-10-27 07:18:00-04:00,4.84,1484085,USGS,2018-10-27,2023-04-16 11:18:00,01484085-2018-69589
47,2018-10-27 08:36:00-04:00,4.797,8551910,NOAA,2018-10-27,2023-04-16 08:36:00,8551910-2018-299
48,2018-11-26 05:48:00-05:00,4.098,8557380,NOAA,2018-11-26,2023-04-16 05:48:00,8557380-2018-329
49,2018-11-26 07:42:00-05:00,4.64,1484085,USGS,2018-11-26,2023-04-16 12:42:00,01484085-2018-76794
50,2018-11-26 08:36:00-05:00,5.19,8551910,NOAA,2018-11-26,2023-04-16 08:36:00,8551910-2018-320
51,2019-03-21 16:54:00-04:00,4.042,8557380,NOAA,2019-03-21,2023-04-16 16:54:00,8557380-2019-79
52,2019-03-21 19:00:00-04:00,4.86,1484085,USGS,2019-03-21,2023-04-16 23:00:00,01484085-2019-18718
53,2019-03-21 19:36:00-04:00,4.797,8551910,NOAA,2019-03-21,2023-04-16 19:36:00,8551910-2019-55
54,2019-05-05 16:54:00-04:00,3.862,8557380,NOAA,2019-05-05,2023-04-16 16:54:00,8557380-2019-124
55,2019-05-05 19:12:00-04:00,4.5,1484085,USGS,2019-05-05,2023-04-16 23:12:00,01484085-2019-29512
56,2019-05-06 20:12:00-04:00,4.495,8551910,NOAA,2019-05-06,2023-04-16 20:12:00,8551910-2019-103
57,2019-10-11 15:24:00-04:00,4.629,8557380,NOAA,2019-10-11,2023-04-16 15:24:00,8557380-2019-284
58,2019-10-11 17:24:00-04:00,4.61,1484085,USGS,2019-10-11,2023-04-16 21:24:00,01484085-2019-67558
59,2019-10-11 18:00:00-04:00,5.148,8551910,NOAA,2019-10-11,2023-04-16 18:00:00,8551910-2019-260
60,2019-10-27 05:18:00-04:00,4.22,1484085,USGS,2019-10-27,2023-04-16 09:18:00,01484085-2019-71267
61,2019-10-27 06:24:00-04:00,4.721,8551910,NOAA,2019-10-27,2023-04-16 06:24:00,8551910-2019-276
62,2019-10-29 05:00:00-04:00,4.265,8557380,NOAA,2019-10-29,2023-04-16 05:00:00,8557380-2019-302
63,2019-10-29 06:36:00-04:00,4.36,1484085,USGS,2019-10-29,2023-04-16 10:36:00,01484085-2019-71759
64,2019-10-29 08:00:00-04:00,4.564,8551910,NOAA,2019-10-29,2023-04-16 08:00:00,8551910-2019-278
65,2020-01-25 04:06:00-05:00,3.566,8557380,NOAA,2020-01-25,2023-04-16 04:06:00,8557380-2020-24
66,2020-01-25 04:36:00-05:00,4.55,1484085,USGS,2020-01-25,2023-04-16 09:36:00,01484085-2020-5853
67,2020-01-25 06:48:00-05:00,4.331,8551910,NOAA,2020-01-25,2023-04-16 06:48:00,8551910-2020-24
68,2020-04-29 21:12:00-04:00,2.726,8557380,NOAA,2020-04-29,2023-04-16 21:12:00,8557380-2020-120
69,2020-04-30 11:36:00-04:00,3.55,1484085,USGS,2020-04-30,2023-04-16 15:36:00,01484085-2020-28888
70,2020-04-30 12:54:00-04:00,4.862,8551910,NOAA,2020-04-30,2023-04-16 12:54:00,8551910-2020-120
71,2020-08-02 15:54:00-04:00,2.845,8557380,NOAA,2020-08-02,2023-04-16 15:54:00,8557380-2020-214
72,2020-08-04 07:06:00-04:00,4.06,1484085,USGS,2020-08-04,2023-04-16 11:06:00,01484085-2020-51823
73,2020-08-04 07:30:00-04:00,4.836,8551910,NOAA,2020-08-04,2023-04-16 07:30:00,8551910-2020-216
74,2020-08-16 14:30:00-04:00,4.029,8557380,NOAA,2020-08-16,2023-04-16 14:30:00,8557380-2020-228
75,2020-08-16 16:00:00-04:00,4.25,1484085,USGS,2020-08-16,2023-04-16 20:00:00,01484085-2020-54775
76,2020-08-17 17:36:00-04:00,4.652,8551910,NOAA,2020-08-17,2023-04-16 17:36:00,8551910-2020-229
77,2020-10-12 12:36:00-04:00,4.072,8557380,NOAA,2020-10-12,2023-04-16 12:36:00,8557380-2020-285
78,2020-10-12 14:18:00-04:00,4.65,1484085,USGS,2020-10-12,2023-04-16 18:18:00,01484085-2020-68381
79,2020-10-12 15:24:00-04:00,4.088,8551910,NOAA,2020-10-12,2023-04-16 15:24:00,8551910-2020-285
80,2020-10-30 03:36:00-04:00,4.531,8557380,NOAA,2020-10-30,2023-04-16 03:36:00,8557380-2020-303
81,2020-10-30 04:54:00-04:00,4.51,1484085,USGS,2020-10-30,2023-04-16 08:54:00,01484085-2020-72586
82,2021-02-01 06:24:00-05:00,4.567,8557380,NOAA,2021-02-01,2023-04-16 06:24:00,8557380-2021-31
83,2021-02-01 06:30:00-05:00,4.31,1484085,USGS,2021-02-01,2023-04-16 11:30:00,01484085-2021-7552
84,2021-02-01 21:48:00-05:00,3.701,8551910,NOAA,2021-02-01,2023-04-16 21:48:00,8551910-2021-32
85,2021-05-29 19:24:00-04:00,4.419,8557380,NOAA,2021-05-29,2023-04-16 19:24:00,8557380-2021-148
86,2021-05-29 21:06:00-04:00,4.68,1484085,USGS,2021-05-30,2023-04-16 01:06:00,01484085-2021-35698
87,2021-05-29 22:12:00-04:00,4.298,8551910,NOAA,2021-05-29,2023-04-16 22:12:00,8551910-2021-149
88,2021-09-01 14:00:00-04:00,3.65,1484085,USGS,2021-09-01,2023-04-16 18:00:00,01484085-2021-58407
89,2021-09-01 14:36:00-04:00,5.02,8551910,NOAA,2021-09-01,2023-04-16 14:36:00,8551910-2021-243
90,2021-09-02 12:54:00-04:00,3.064,8557380,NOAA,2021-09-02,2023-04-16 12:54:00,8557380-2021-244
91,2021-09-23 05:48:00-04:00,2.854,8557380,NOAA,2021-09-23,2023-04-16 05:48:00,8557380-2021-265
92,2021-09-23 07:12:00-04:00,3.76,1484085,USGS,2021-09-23,2023-04-16 11:12:00,01484085-2021-63616
93,2021-09-23 08:18:00-04:00,4.957,8551910,NOAA,2021-09-23,2023-04-16 08:18:00,8551910-2021-265
94,2021-10-29 10:48:00-04:00,4.449,8557380,NOAA,2021-10-29,2023-04-16 10:48:00,8557380-2021-301
95,2021-10-29 12:48:00-04:00,5.3,1484085,USGS,2021-10-29,2023-04-16 16:48:00,01484085-2021-72276
96,2021-10-29 13:54:00-04:00,6.115,8551910,NOAA,2021-10-29,2023-04-16 13:54:00,8551910-2021-301
97,2022-01-02 05:48:00-05:00,4.436,8551910,NOAA,2022-01-02,2023-04-16 05:48:00,8551910-2022-1
98,2022-01-03 04:18:00-05:00,4.885,8557380,NOAA,2022-01-03,2023-04-16 04:18:00,8557380-2022-2
99,2022-01-03 04:54:00-05:00,4.68,1484085,USGS,2022-01-03,2023-04-16 09:54:00,01484085-2022-577
100,2022-04-18 17:54:00-04:00,4.711,8557380,NOAA,2022-04-18,2023-04-16 17:54:00,8557380-2022-107
101,2022-04-18 20:06:00-04:00,5.03,1484085,USGS,2022-04-19,2023-04-16 00:06:00,01484085-2022-24959
102,2022-04-18 20:42:00-04:00,4.318,8551910,NOAA,2022-04-18,2023-04-16 20:42:00,8551910-2022-108
103,2022-06-14 16:18:00-04:00,3.776,8557380,NOAA,2022-06-14,2023-04-16 16:18:00,8557380-2022-164
104,2022-06-15 19:12:00-04:00,4.35,1484085,USGS,2022-06-15,2023-04-16 23:12:00,01484085-2022-38822
105,2022-06-15 20:18:00-04:00,4.659,8551910,NOAA,2022-06-15,2023-04-16 20:18:00,8551910-2022-166
106,2022-09-07 14:06:00-04:00,4.157,8557380,NOAA,2022-09-07,2023-04-16 14:06:00,8557380-2022-249
107,2022-09-07 15:54:00-04:00,4.36,1484085,USGS,2022-09-07,2023-04-16 19:54:00,01484085-2022-58935
108,2022-09-08 17:36:00-04:00,4.669,8551910,NOAA,2022-09-08,2023-04-16 17:36:00,8551910-2022-251
109,2022-10-01 11:06:00-04:00,4.068,8551910,NOAA,2022-10-01,2023-04-16 11:06:00,8551910-2022-274
110,2022-10-03 10:42:00-04:00,4.803,8557380,NOAA,2022-10-03,2023-04-16 10:42:00,8557380-2022-275
111,2022-10-03 12:18:00-04:00,4.39,1484085,USGS,2022-10-03,2023-04-16 16:18:00,01484085-2022-65129
112,2022-12-23 03:24:00-05:00,4.196,8557380,NOAA,2022-12-23,2023-04-16 03:24:00,8557380-2022-356
113,2022-12-23 04:12:00-05:00,4.09,1484085,USGS,2022-12-23,2023-04-16 09:12:00,01484085-2022-84489
114,2022-12-23 05:54:00-05:00,5.318,8551910,NOAA,2022-12-23,2023-04-16 05:54:00,8551910-2022-358
