Date Time,Water Level,SiteID,Source,Date,Time,Identifier
2017-01-01 05:30:00-05:00,1.673,8557380,NOAA,2017-01-01,05:30:00,8557380-2017-0
2017-01-02 06:18:00-05:00,2.536,8557380,NOAA,2017-01-02,06:18:00,8557380-2017-1
2017-01-03 06:54:00-05:00,3.107,8557380,NOAA,2017-01-03,06:54:00,8557380-2017-2
2017-01-03 19:12:00-05:00,2.356,8557380,NOAA,2017-01-03,19:12:00,8557380-2017-3
2017-01-05 08:30:00-05:00,0.869,8557380,NOAA,2017-01-05,08:30:00,8557380-2017-4
2017-01-06 09:36:00-05:00,1.483,8557380,NOAA,2017-01-06,09:36:00,8557380-2017-5
2017-01-07 10:54:00-05:00,1.988,8557380,NOAA,2017-01-07,10:54:00,8557380-2017-6
2017-01-07 23:36:00-05:00,2.366,8557380,NOAA,2017-01-07,23:36:00,8557380-2017-7
2017-01-09 00:24:00-05:00,2.028,8557380,NOAA,2017-01-09,00:24:00,8557380-2017-8
2017-01-10 01:18:00-05:00,2.103,8557380,NOAA,2017-01-10,01:18:00,8557380-2017-9
2017-01-11 02:06:00-05:00,2.09,8557380,NOAA,2017-01-11,02:06:00,8557380-2017-10
2017-01-12 03:06:00-05:00,2.293,8557380,NOAA,2017-01-12,03:06:00,8557380-2017-11
2017-01-13 03:54:00-05:00,2.369,8557380,NOAA,2017-01-13,03:54:00,8557380-2017-12
2017-01-14 04:42:00-05:00,2.389,8557380,NOAA,2017-01-14,04:42:00,8557380-2017-13
2017-01-15 05:24:00-05:00,2.234,8557380,NOAA,2017-01-15,05:24:00,8557380-2017-14
2017-01-16 06:12:00-05:00,1.834,8557380,NOAA,2017-01-16,06:12:00,8557380-2017-15
2017-01-17 06:54:00-05:00,1.332,8557380,NOAA,2017-01-17,06:54:00,8557380-2017-16
2017-01-18 08:00:00-05:00,1.742,8557380,NOAA,2017-01-18,08:00:00,8557380-2017-17
2017-01-18 20:36:00-05:00,2.29,8557380,NOAA,2017-01-18,20:36:00,8557380-2017-18
2017-01-19 21:48:00-05:00,1.581,8557380,NOAA,2017-01-19,21:48:00,8557380-2017-19
2017-01-20 22:30:00-05:00,1.696,8557380,NOAA,2017-01-20,22:30:00,8557380-2017-20
2017-01-21 23:24:00-05:00,1.873,8557380,NOAA,2017-01-21,23:24:00,8557380-2017-21
2017-01-23 12:42:00-05:00,4.308,8557380,NOAA,2017-01-23,12:42:00,8557380-2017-22
2017-01-24 01:06:00-05:00,4.15,8557380,NOAA,2017-01-24,01:06:00,8557380-2017-23
2017-01-25 01:48:00-05:00,2.523,8557380,NOAA,2017-01-25,01:48:00,8557380-2017-24
2017-01-26 02:24:00-05:00,2.516,8557380,NOAA,2017-01-26,02:24:00,8557380-2017-25
2017-01-27 03:18:00-05:00,1.568,8557380,NOAA,2017-01-27,03:18:00,8557380-2017-26
2017-01-28 03:48:00-05:00,1.132,8557380,NOAA,2017-01-28,03:48:00,8557380-2017-27
2017-01-29 04:24:00-05:00,1.896,8557380,NOAA,2017-01-29,04:24:00,8557380-2017-28
2017-01-30 04:54:00-05:00,2.366,8557380,NOAA,2017-01-30,04:54:00,8557380-2017-29
2017-01-31 05:54:00-05:00,2.405,8557380,NOAA,2017-01-31,05:54:00,8557380-2017-30
2017-02-01 06:18:00-05:00,2.034,8557380,NOAA,2017-02-01,06:18:00,8557380-2017-31
2017-02-02 07:18:00-05:00,1.68,8557380,NOAA,2017-02-02,07:18:00,8557380-2017-32
2017-02-03 08:12:00-05:00,1.355,8557380,NOAA,2017-02-03,08:12:00,8557380-2017-33
2017-02-03 20:42:00-05:00,1.365,8557380,NOAA,2017-02-03,20:42:00,8557380-2017-34
2017-02-04 22:06:00-05:00,1.217,8557380,NOAA,2017-02-04,22:06:00,8557380-2017-35
2017-02-05 23:00:00-05:00,1.509,8557380,NOAA,2017-02-05,23:00:00,8557380-2017-36
2017-02-07 00:06:00-05:00,1.837,8557380,NOAA,2017-02-07,00:06:00,8557380-2017-37
2017-02-08 01:12:00-05:00,2.379,8557380,NOAA,2017-02-08,01:12:00,8557380-2017-38
2017-02-09 02:30:00-05:00,4.049,8557380,NOAA,2017-02-09,02:30:00,8557380-2017-39
2017-02-10 02:54:00-05:00,2.097,8557380,NOAA,2017-02-10,02:54:00,8557380-2017-40
2017-02-11 03:48:00-05:00,1.887,8557380,NOAA,2017-02-11,03:48:00,8557380-2017-41
2017-02-12 04:24:00-05:00,3.199,8557380,NOAA,2017-02-12,04:24:00,8557380-2017-42
2017-02-13 04:54:00-05:00,1.49,8557380,NOAA,2017-02-13,04:54:00,8557380-2017-43
2017-02-14 18:18:00-05:00,2.92,8557380,NOAA,2017-02-14,18:18:00,8557380-2017-44
2017-02-15 06:18:00-05:00,2.684,8557380,NOAA,2017-02-15,06:18:00,8557380-2017-45
2017-02-16 07:24:00-05:00,0.929,8557380,NOAA,2017-02-16,07:24:00,8557380-2017-46
2017-02-16 19:48:00-05:00,1.289,8557380,NOAA,2017-02-16,19:48:00,8557380-2017-47
2017-02-17 20:48:00-05:00,0.817,8557380,NOAA,2017-02-17,20:48:00,8557380-2017-48
2017-02-18 21:18:00-05:00,1.401,8557380,NOAA,2017-02-18,21:18:00,8557380-2017-49
2017-02-19 22:30:00-05:00,1.362,8557380,NOAA,2017-02-19,22:30:00,8557380-2017-50
2017-02-20 23:30:00-05:00,2.057,8557380,NOAA,2017-02-20,23:30:00,8557380-2017-51
2017-02-22 00:12:00-05:00,2.047,8557380,NOAA,2017-02-22,00:12:00,8557380-2017-52
2017-02-23 01:06:00-05:00,2.119,8557380,NOAA,2017-02-23,01:06:00,8557380-2017-53
2017-02-24 01:48:00-05:00,2.284,8557380,NOAA,2017-02-24,01:48:00,8557380-2017-54
2017-02-25 02:42:00-05:00,2.579,8557380,NOAA,2017-02-25,02:42:00,8557380-2017-55
2017-02-26 03:24:00-05:00,2.323,8557380,NOAA,2017-02-26,03:24:00,8557380-2017-56
2017-02-27 04:00:00-05:00,1.834,8557380,NOAA,2017-02-27,04:00:00,8557380-2017-57
2017-02-28 04:42:00-05:00,2.06,8557380,NOAA,2017-02-28,04:42:00,8557380-2017-58
2017-03-01 05:18:00-05:00,2.133,8557380,NOAA,2017-03-01,05:18:00,8557380-2017-59
2017-03-02 18:42:00-05:00,0.879,8557380,NOAA,2017-03-02,18:42:00,8557380-2017-60
2017-03-03 07:00:00-05:00,0.676,8557380,NOAA,2017-03-03,07:00:00,8557380-2017-61
2017-03-03 19:18:00-05:00,0.673,8557380,NOAA,2017-03-03,19:18:00,8557380-2017-62
2017-03-04 20:30:00-05:00,1.161,8557380,NOAA,2017-03-04,20:30:00,8557380-2017-63
2017-03-05 21:48:00-05:00,1.755,8557380,NOAA,2017-03-05,21:48:00,8557380-2017-64
2017-03-06 22:48:00-05:00,2.169,8557380,NOAA,2017-03-06,22:48:00,8557380-2017-65
2017-03-08 00:12:00-05:00,1.703,8557380,NOAA,2017-03-08,00:12:00,8557380-2017-66
2017-03-09 00:54:00-05:00,1.27,8557380,NOAA,2017-03-09,00:54:00,8557380-2017-67
2017-03-10 02:12:00-05:00,2.484,8557380,NOAA,2017-03-10,02:12:00,8557380-2017-68
2017-03-11 02:30:00-05:00,1.444,8557380,NOAA,2017-03-11,02:30:00,8557380-2017-69
2017-03-12 04:24:00-04:00,1.152,8557380,NOAA,2017-03-12,04:24:00,8557380-2017-70
2017-03-13 17:36:00-04:00,2.218,8557380,NOAA,2017-03-13,17:36:00,8557380-2017-71
2017-03-14 05:18:00-04:00,4.154,8557380,NOAA,2017-03-14,05:18:00,8557380-2017-72
2017-03-15 06:06:00-04:00,0.571,8557380,NOAA,2017-03-15,06:06:00,8557380-2017-73
2017-03-16 19:36:00-04:00,0.23,8557380,NOAA,2017-03-16,19:36:00,8557380-2017-74
2017-03-17 07:36:00-04:00,0.466,8557380,NOAA,2017-03-17,07:36:00,8557380-2017-75
2017-03-17 20:06:00-04:00,0.922,8557380,NOAA,2017-03-17,20:06:00,8557380-2017-76
2017-03-18 21:00:00-04:00,2.379,8557380,NOAA,2017-03-18,21:00:00,8557380-2017-77
2017-03-19 21:48:00-04:00,1.854,8557380,NOAA,2017-03-19,21:48:00,8557380-2017-78
2017-03-20 22:42:00-04:00,1.936,8557380,NOAA,2017-03-20,22:42:00,8557380-2017-79
2017-03-21 23:30:00-04:00,1.595,8557380,NOAA,2017-03-21,23:30:00,8557380-2017-80
2017-03-23 00:24:00-04:00,1.23,8557380,NOAA,2017-03-23,00:24:00,8557380-2017-81
2017-03-24 01:36:00-04:00,1.001,8557380,NOAA,2017-03-24,01:36:00,8557380-2017-82
2017-03-25 02:12:00-04:00,1.243,8557380,NOAA,2017-03-25,02:12:00,8557380-2017-83
2017-03-26 03:06:00-04:00,2.546,8557380,NOAA,2017-03-26,03:06:00,8557380-2017-84
2017-03-27 03:54:00-04:00,2.487,8557380,NOAA,2017-03-27,03:54:00,8557380-2017-85
2017-03-28 16:42:00-04:00,2.887,8557380,NOAA,2017-03-28,16:42:00,8557380-2017-86
2017-03-29 17:36:00-04:00,2.808,8557380,NOAA,2017-03-29,17:36:00,8557380-2017-87
2017-03-30 18:30:00-04:00,2.828,8557380,NOAA,2017-03-30,18:30:00,8557380-2017-88
2017-03-31 19:42:00-04:00,3.461,8557380,NOAA,2017-03-31,19:42:00,8557380-2017-89
2017-04-01 08:06:00-04:00,2.743,8557380,NOAA,2017-04-01,08:06:00,8557380-2017-90
2017-04-01 20:18:00-04:00,3.281,8557380,NOAA,2017-04-01,20:18:00,8557380-2017-91
2017-04-02 21:12:00-04:00,2.585,8557380,NOAA,2017-04-02,21:12:00,8557380-2017-92
2017-04-03 22:18:00-04:00,2.845,8557380,NOAA,2017-04-03,22:18:00,8557380-2017-93
2017-04-04 23:24:00-04:00,3.077,8557380,NOAA,2017-04-04,23:24:00,8557380-2017-94
2017-04-06 00:48:00-04:00,3.251,8557380,NOAA,2017-04-06,00:48:00,8557380-2017-95
2017-04-07 01:36:00-04:00,2.772,8557380,NOAA,2017-04-07,01:36:00,8557380-2017-96
2017-04-08 02:24:00-04:00,1.788,8557380,NOAA,2017-04-08,02:24:00,8557380-2017-97
2017-04-08 02:24:00-04:00,1.788,8557380,NOAA,2017-04-08,02:24:00,8557380-2017-98
2017-04-09 03:24:00-04:00,2.034,8557380,NOAA,2017-04-09,03:24:00,8557380-2017-99
2017-04-10 16:24:00-04:00,1.847,8557380,NOAA,2017-04-10,16:24:00,8557380-2017-100
2017-04-11 17:00:00-04:00,1.772,8557380,NOAA,2017-04-11,17:00:00,8557380-2017-101
2017-04-12 17:24:00-04:00,2.129,8557380,NOAA,2017-04-12,17:24:00,8557380-2017-102
2017-04-13 18:18:00-04:00,1.969,8557380,NOAA,2017-04-13,18:18:00,8557380-2017-103
2017-04-14 18:48:00-04:00,1.923,8557380,NOAA,2017-04-14,18:48:00,8557380-2017-104
2017-04-15 19:24:00-04:00,1.719,8557380,NOAA,2017-04-15,19:24:00,8557380-2017-105
2017-04-16 07:54:00-04:00,0.699,8557380,NOAA,2017-04-16,07:54:00,8557380-2017-106
2017-04-16 20:12:00-04:00,1.319,8557380,NOAA,2017-04-16,20:12:00,8557380-2017-107
2017-04-17 20:54:00-04:00,1.782,8557380,NOAA,2017-04-17,20:54:00,8557380-2017-108
2017-04-18 21:54:00-04:00,1.955,8557380,NOAA,2017-04-18,21:54:00,8557380-2017-109
2017-04-19 22:48:00-04:00,1.759,8557380,NOAA,2017-04-19,22:48:00,8557380-2017-110
2017-04-21 00:12:00-04:00,2.106,8557380,NOAA,2017-04-21,00:12:00,8557380-2017-111
2017-04-22 00:54:00-04:00,2.539,8557380,NOAA,2017-04-22,00:54:00,8557380-2017-112
2017-04-23 02:06:00-04:00,2.261,8557380,NOAA,2017-04-23,02:06:00,8557380-2017-113
2017-04-24 15:06:00-04:00,3.012,8557380,NOAA,2017-04-24,15:06:00,8557380-2017-114
2017-04-25 16:00:00-04:00,3.596,8557380,NOAA,2017-04-25,16:00:00,8557380-2017-115
2017-04-26 16:36:00-04:00,3.415,8557380,NOAA,2017-04-26,16:36:00,8557380-2017-116
2017-04-27 17:18:00-04:00,3.163,8557380,NOAA,2017-04-27,17:18:00,8557380-2017-117
2017-04-28 18:12:00-04:00,2.966,8557380,NOAA,2017-04-28,18:12:00,8557380-2017-118
2017-04-29 19:00:00-04:00,2.674,8557380,NOAA,2017-04-29,19:00:00,8557380-2017-119
2017-04-30 07:48:00-04:00,1.558,8557380,NOAA,2017-04-30,07:48:00,8557380-2017-120
2017-04-30 20:06:00-04:00,2.946,8557380,NOAA,2017-04-30,20:06:00,8557380-2017-121
2017-05-01 20:54:00-04:00,2.29,8557380,NOAA,2017-05-01,20:54:00,8557380-2017-122
2017-05-02 22:00:00-04:00,2.3,8557380,NOAA,2017-05-02,22:00:00,8557380-2017-123
2017-05-03 23:30:00-04:00,1.992,8557380,NOAA,2017-05-03,23:30:00,8557380-2017-124
2017-05-05 00:12:00-04:00,2.395,8557380,NOAA,2017-05-05,00:12:00,8557380-2017-125
2017-05-06 01:18:00-04:00,2.477,8557380,NOAA,2017-05-06,01:18:00,8557380-2017-126
2017-05-07 14:48:00-04:00,2.149,8557380,NOAA,2017-05-07,14:48:00,8557380-2017-127
2017-05-08 15:18:00-04:00,2.221,8557380,NOAA,2017-05-08,15:18:00,8557380-2017-128
2017-05-09 16:00:00-04:00,2.635,8557380,NOAA,2017-05-09,16:00:00,8557380-2017-129
2017-05-10 16:24:00-04:00,2.789,8557380,NOAA,2017-05-10,16:24:00,8557380-2017-130
2017-05-11 17:00:00-04:00,2.973,8557380,NOAA,2017-05-11,17:00:00,8557380-2017-131
2017-05-12 17:48:00-04:00,3.084,8557380,NOAA,2017-05-12,17:48:00,8557380-2017-132
2017-05-13 18:30:00-04:00,3.071,8557380,NOAA,2017-05-13,18:30:00,8557380-2017-133
2017-05-14 19:12:00-04:00,2.887,8557380,NOAA,2017-05-14,19:12:00,8557380-2017-134
2017-05-15 19:42:00-04:00,2.566,8557380,NOAA,2017-05-15,19:42:00,8557380-2017-135
2017-05-16 08:24:00-04:00,1.362,8557380,NOAA,2017-05-16,08:24:00,8557380-2017-136
2017-05-16 20:30:00-04:00,2.077,8557380,NOAA,2017-05-16,20:30:00,8557380-2017-137
2017-05-17 21:18:00-04:00,1.795,8557380,NOAA,2017-05-17,21:18:00,8557380-2017-138
2017-05-18 22:12:00-04:00,1.585,8557380,NOAA,2017-05-18,22:12:00,8557380-2017-139
2017-05-20 11:54:00-04:00,2.179,8557380,NOAA,2017-05-20,11:54:00,8557380-2017-140
2017-05-21 00:12:00-04:00,2.011,8557380,NOAA,2017-05-21,00:12:00,8557380-2017-141
2017-05-22 13:42:00-04:00,2.5,8557380,NOAA,2017-05-22,13:42:00,8557380-2017-142
2017-05-23 14:30:00-04:00,3.081,8557380,NOAA,2017-05-23,14:30:00,8557380-2017-143
2017-05-24 15:06:00-04:00,3.803,8557380,NOAA,2017-05-24,15:06:00,8557380-2017-144
2017-05-25 16:36:00-04:00,4.15,8557380,NOAA,2017-05-25,16:36:00,8557380-2017-145
2017-05-26 17:00:00-04:00,3.675,8557380,NOAA,2017-05-26,17:00:00,8557380-2017-146
2017-05-27 18:06:00-04:00,3.724,8557380,NOAA,2017-05-27,18:06:00,8557380-2017-147
2017-05-28 18:42:00-04:00,4.016,8557380,NOAA,2017-05-28,18:42:00,8557380-2017-148
2017-05-29 19:36:00-04:00,3.622,8557380,NOAA,2017-05-29,19:36:00,8557380-2017-149
2017-05-30 08:36:00-04:00,2.28,8557380,NOAA,2017-05-30,08:36:00,8557380-2017-150
2017-05-30 20:42:00-04:00,2.904,8557380,NOAA,2017-05-30,20:42:00,8557380-2017-151
2017-05-31 21:42:00-04:00,2.398,8557380,NOAA,2017-05-31,21:42:00,8557380-2017-152
2017-06-01 22:54:00-04:00,2.07,8557380,NOAA,2017-06-01,22:54:00,8557380-2017-153
2017-06-03 12:42:00-04:00,1.864,8557380,NOAA,2017-06-03,12:42:00,8557380-2017-154
2017-06-04 13:18:00-04:00,2.238,8557380,NOAA,2017-06-04,13:18:00,8557380-2017-155
2017-06-05 13:54:00-04:00,2.539,8557380,NOAA,2017-06-05,13:54:00,8557380-2017-156
2017-06-06 14:54:00-04:00,3.232,8557380,NOAA,2017-06-06,14:54:00,8557380-2017-157
2017-06-07 15:24:00-04:00,3.081,8557380,NOAA,2017-06-07,15:24:00,8557380-2017-158
2017-06-08 16:06:00-04:00,3.074,8557380,NOAA,2017-06-08,16:06:00,8557380-2017-159
2017-06-09 16:36:00-04:00,2.572,8557380,NOAA,2017-06-09,16:36:00,8557380-2017-160
2017-06-10 17:12:00-04:00,2.1,8557380,NOAA,2017-06-10,17:12:00,8557380-2017-161
2017-06-11 17:54:00-04:00,2.349,8557380,NOAA,2017-06-11,17:54:00,8557380-2017-162
2017-06-12 18:42:00-04:00,2.139,8557380,NOAA,2017-06-12,18:42:00,8557380-2017-163
2017-06-13 19:18:00-04:00,2.326,8557380,NOAA,2017-06-13,19:18:00,8557380-2017-164
2017-06-14 19:54:00-04:00,2.608,8557380,NOAA,2017-06-14,19:54:00,8557380-2017-165
2017-06-15 08:42:00-04:00,1.739,8557380,NOAA,2017-06-15,08:42:00,8557380-2017-166
2017-06-15 20:54:00-04:00,2.658,8557380,NOAA,2017-06-15,20:54:00,8557380-2017-167
2017-06-16 21:48:00-04:00,2.454,8557380,NOAA,2017-06-16,21:48:00,8557380-2017-168
2017-06-18 11:18:00-04:00,1.972,8557380,NOAA,2017-06-18,11:18:00,8557380-2017-169
2017-06-19 12:18:00-04:00,1.883,8557380,NOAA,2017-06-19,12:18:00,8557380-2017-170
2017-06-20 13:12:00-04:00,2.336,8557380,NOAA,2017-06-20,13:12:00,8557380-2017-171
2017-06-21 14:18:00-04:00,2.625,8557380,NOAA,2017-06-21,14:18:00,8557380-2017-172
2017-06-22 14:54:00-04:00,3.34,8557380,NOAA,2017-06-22,14:54:00,8557380-2017-173
2017-06-23 15:54:00-04:00,3.353,8557380,NOAA,2017-06-23,15:54:00,8557380-2017-174
2017-06-24 16:54:00-04:00,3.369,8557380,NOAA,2017-06-24,16:54:00,8557380-2017-175
2017-06-25 17:42:00-04:00,3.409,8557380,NOAA,2017-06-25,17:42:00,8557380-2017-176
2017-06-26 18:30:00-04:00,3.022,8557380,NOAA,2017-06-26,18:30:00,8557380-2017-177
2017-06-27 19:36:00-04:00,2.9,8557380,NOAA,2017-06-27,19:36:00,8557380-2017-178
2017-06-28 08:06:00-04:00,1.939,8557380,NOAA,2017-06-28,08:06:00,8557380-2017-179
2017-06-28 20:18:00-04:00,2.267,8557380,NOAA,2017-06-28,20:18:00,8557380-2017-180
2017-06-29 21:24:00-04:00,1.719,8557380,NOAA,2017-06-29,21:24:00,8557380-2017-181
2017-07-01 11:06:00-04:00,1.739,8557380,NOAA,2017-07-01,11:06:00,8557380-2017-182
